Text,Sentiment,Positive
",yo no debo nada no mandar mensajes ni llamar",positivo,1
"No tengo trabajo, no podré pagar ese monto, podría pagar 5000 soles",positivo,1
Si mañana de la noche,positivo,1
Si hoy hago el pago,positivo,1
NO ACEPTO,positivo,1
Señores por favor deja de molestar el dia de ayer se pago,positivo,1
No me dan solucion,positivo,1
"El numero 995931440 quiere comunicarse contigo, si deseas llamalo.",positivo,1
O son extorsionadores.,positivo,1
"Ya pagu, verifiquen",positivo,1
Por fabor yo no debo,positivo,1
"Buenas tardes, por favor después de las 6p.m. podria enviarlo , me encuentro trabajando .",positivo,1
"El numero 981672634 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Quien es ,positivo,1
"Señores estoy enfermo, soy responsable, cuanto es mi cuota mensual, por favor tengan en cuenta 1ue no hay trabajo. Gracias.",positivo,1
Yaaaaaa,positivo,1
"El numero 949417459 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Cuánto es la deuda?,positivo,1
Mandame ka direccion xfavor,positivo,1
Cuotas de que?,positivo,1
Señor he pagado hace 2 semanas atras,positivo,1
Buenas ya hice el pago el dia de ayer,positivo,1
"El numero 999990324 realizo una llamada, busca comunicarse contigo.",positivo,1
"El numero 925613077 realizo una llamada, busca comunicarse contigo.",positivo,1
Si? Pinga no quieren tambi¿n como asesoria?,positivo,1
Resies stamos 18 hdp,positivo,1
"El numero 920221161 realizo una llamada, busca comunicarse contigo.",positivo,1
"El dueño de este numero no tiene cuenta con efectiva, me podrian decir con quien quieren comunicar o cobrar su credito.",positivo,1
Caray de que es dejen de molestar,positivo,1
"El numero 996817302 quiere comunicarse contigo, si deseas llamalo.",positivo,1
"El numero 961049916 quiere comunicarse contigo, si deseas llamalo.",positivo,1
disculpe los decodificadores lo vinieron a recoger yo ya no los tengo,positivo,1
"El numero 968167832 quiere comunicarse contigo, si deseas llamalo.",positivo,1
nesecito q me agan el ajuste del mal servicio q me dieron.... aque numero marco para reclamar...,positivo,1
"El numero 966844930 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Desde hace 13 años No debo a nadie,positivo,1
Cambie de operador ase tiempo,positivo,1
o que vienen realizando. No respetan el contrato.,positivo,1
Suena apagado,positivo,1
No%20molesten%20ya%20pagamos,positivo,1
Ese el.monto 85,positivo,1
"El numero 975166947 realizo una llamada, busca comunicarse contigo.",positivo,1
Que me van a embargar esta. Hasta las huevas,positivo,1
No%20jodan%20no%20tengo%20plata,positivo,1
Ni nada que venga de ustedes estafadores ladrones,positivo,1
De que es?,positivo,1
"equipos?, solo sera el routers.",positivo,1
Por esta pandemia no tengo de donde voya pagar,positivo,1
"El numero 932998685 quiere comunicarse contigo, si deseas llamalo.",positivo,1
enero perdon,positivo,1
Ok el martes boy a cancelar. Esperemme xfavor,positivo,1
Facil es saber de quien es este numero,positivo,1
"La app no funciona, hace meses quiero pagar mis recibos y no carga. Tengo que pagarlos en agentes",positivo,1
"El numero 943538322 realizo una llamada, busca comunicarse contigo.",positivo,1
No estamos trabajandonahorita por la.pandemia estamos gastados habifo enfermos,positivo,1
Deje de moleatar o va a tener problemas.,positivo,1
Disculpa ¿Quien eres?,positivo,1
Plazo hasta mañana ,positivo,1
mira inbecil dime quien eres,positivo,1
o me voy a quejar,positivo,1
Ya cancele amigos de caja Sullana r,positivo,1
"Si,voy,apagr,palotro,mes,por,altual,toy,por,el,sur,pes ca,ndo,pota,y,viajon,por,el,5de,octubre",positivo,1
Ya pague huevones,positivo,1
Cuanto es lo que debo,positivo,1
Cuanto seria el total que tengo que pagar,positivo,1
"El numero 961134770 realizo una llamada, busca comunicarse contigo.",positivo,1
Buenas tardes asi es recién he cobrado y he notado que me ha venido demas asi que asumi que no me habian descontado la cuota. Eso ya escapa a mi responsa,positivo,1
Ya realice el pago el dia de hoy en la tarde,positivo,1
 enferma con el mismo mal pf le pido que me reprogramen gracias por,positivo,1
reclamos,positivo,1
dejen de joder ok,positivo,1
Yo ya cancele toda la deuda,positivo,1
Me pueden explicar de q mes tengo esa cuota vencida excepto de este mes q voy a pagar mañana   y porque es mi ultimo dia de pago ,positivo,1
Pero den pz un plazo de 2 semanitas para poder juntar pz x fis,positivo,1
Deja de mandar esos avisos,positivo,1
"Recoger en Manuel Clavero 2057 urb, Antares Celulular 995158442",positivo,1
Ella hablo el mes pasado,positivo,1
e desconto porque era una orden del estado. Ademas fue un acuerdo que dije en la solicitud que me descontaran al final. Osea en Enero. Y me estén molesta,positivo,1
No tengo en mi directorio,positivo,1
Pues me kieren sacar plata o te ayer me dejo un monto y lo cancele ahora otro que tiene,positivo,1
"Y siguen con la misma cantaleta, debuelvanme mis aportaciones y listo",positivo,1
Solicito reprogramacion de deuda,positivo,1
"Ya presente mi queja!!! Donde estaban uds en los meses de cuarentena??? Y esa mi deuda es x penalidad, donde mierda iba a pagar si no se podia salir y u",positivo,1
Que cuota si yo no les he sacado nada,positivo,1
Mi hermano no hizo mas que 110.00 soles,positivo,1
"Ya%20coordine%20con%20mi%20analista,%20pues%20quedamos%20en%20reprogramar%20en%20tres%20meses%20(diciembre%20inicio%20con%20mis%20pagos)%20Gracias",positivo,1
no me vuelvan a mandar este tipo de mensaje,positivo,1
ta tienda estoy que llamo al número que me manda él mensaje,positivo,1
Hola buenas tardes si mañana cancelo temprano gracias,positivo,1
Yo ya pague no debo nada,positivo,1
Carajo...dame el minuto minimo y deja de amenazar...,positivo,1
Ya pague gracias,positivo,1
"El numero 938177271 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Buenos dias señores de tfc con respecto a la cuota vencida e mandado a su correo electronica de la financiera 3 solicitudes la ultima fue el 14 de se,positivo,1
Ah Hla no tengo saldo que paso? ,positivo,1
Ya fue devuelto el equipo,positivo,1
"El numero 980245125 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Yo no debo nada no jodan... ladrones,positivo,1
"El numero 920035177 quiere comunicarse contigo, si deseas llamalo.",positivo,1
De donde es:,positivo,1
Buenas noches quedaron en llamarme para coordinar el recojo ya que me mude y no estoy ahi,positivo,1
Nooooooooooooooo,positivo,1
Porque me mandan mensaje y no respondes conteste,positivo,1
Como les vuelvo a repetir yo no quiero reprogramar,positivo,1
Yo elijo al 956332957,positivo,1
Algo más???,positivo,1
"En tiempos de emergencia, FINANCIERA EFECTIVA con EJERCITO DEL PERU. Le brinda facilidades para un prestamo convenio, seguro y en cuotas. Comunicate o es",positivo,1
Pago 50 soles al mes por 3 años,positivo,1
Me informaron esto hace como 2 meses y nunca fueron,positivo,1
hola,positivo,1
Ya cancelé el dia miercoles,positivo,1
Ok Srta gracias,positivo,1
Dejen de fregar,positivo,1
"Buen día, disculpe me puedr informar de q mes estoy adeudando, pq e",positivo,1
Disculpe quién es?,positivo,1
Disculpe buenas tardes pero yo. No tengo ninguna deuda con la caja no entiendo porque me llegan este mensaje,positivo,1
Ella sufrio un derrame,positivo,1
Disculpe cuanto es?,positivo,1
NO C KIEN MIERDA ERES,positivo,1
Porque ai estoy al dia con mis pagos,positivo,1
"El numero 949820115 realizo una llamada, busca comunicarse contigo.",positivo,1
Por favor ys me comunique,positivo,1
De cuanto es la letra,positivo,1
Sr.movistar%20cordine%20para%20devolver%20mi%20plata%20que%20me%20deben%20del%20mes%20de%20enero.,positivo,1
roducto que han sido devueltos hace 1 mes y medio de la campaña 7 ya pague y hasta ahora no me descuenta y de la campaña 10 igualmente llego 13 productos,positivo,1
Me puede esprica mas ,positivo,1
Concha de tu yo no devo,positivo,1
Resien me estoy recuperando del covid,positivo,1
Ya%20pagueeee,positivo,1
Iré a pagar BBVA CON QUE CODIGO porfavor,positivo,1
"El numero 996985079 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Yo no.debo nada dejen de enviar mensajes,positivo,1
"El numero 984540583 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Recién me toca pagar el 5 de octubre,positivo,1
Me mandan este mensaje quiero saber qué banco es no tengo deuda con refinancia,positivo,1
"Por favor dejen de estar enviandome mensajes, ya que no tengo nada pendiente con la PUCP.",positivo,1
No podre  pagar,positivo,1
Buenas noches disculpe me podría dar info,positivo,1
"El numero 943293775 quiere comunicarse contigo, si deseas llamalo.",positivo,1
No quiero saber nada de nada,positivo,1
Sres mi tio fallecio hace 2 meses con el Cobid 19 dejemos de estar molestando . La deuda que Dios se lo page Usureros de Mierda dejen de joderme .,positivo,1
"No esten jodiendo, eso ya se ba a pagar",positivo,1
De que este en que agencia llamo y no contestan por que,positivo,1
bt a la misna me han tratado mal en esa tienda,positivo,1
"El numero 951463826 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Yo pague campo fe de 30 de agosto y 1 cuota de mantenimiento,positivo,1
Yo ya pagué el dia martes,positivo,1
Responde x fa si ,positivo,1
Depositar ps,positivo,1
Disculpe?,positivo,1
"El numero 948918778 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Ese no es mi monto,positivo,1
Ahora quiren recojer más después de mucho tiempos,positivo,1
Que deuda mierda..yo no debo a nadies,positivo,1
Pq no me llaman ,positivo,1
Revisen bien sus datos personales.,positivo,1
Y a que no estamos trabajando pero igual cumpliremos,positivo,1
No debo nada no estén cobrando mentira,positivo,1
No lo conozco disculpe lo voy broquiar,positivo,1
"No tengo préstamos con efectiva, gracias",positivo,1
Si yo no debo,positivo,1
Devolucion de que????,positivo,1
De cuanto es el monto,positivo,1
De q dueda,positivo,1
Ok gracias los pagos los ago con anticipación,positivo,1
Buenas tardes le habla Anthony Silva cardenas,positivo,1
Disculpe dond es la nueva direccion de tiendas efe en tacna,positivo,1
Yono soy ivana soy maria su hermana y poxfabor nome estes mandando mensaje,positivo,1
Yo estoy dispuesto a pagar pero cuando mejore mi situación por que,positivo,1
Sabes que eso es acoso,positivo,1
Ya lo pague ,positivo,1
Que oportinidad dejete de sonceras si,positivo,1
No contesta nunca,positivo,1
937543058,positivo,1
Ahora,positivo,1
"El numero 955936242 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Ya cancele mi pago ala 15.horas,positivo,1
"Sres de Sullana , asi como mandan mensajes del pago q uno tiene q hacer seria bueno q revisen si ua pague, he pagado el miércoles por q me hostigan desde lunes",positivo,1
Ya pague en la. Mañana 🙄,positivo,1
actualmente yo estaria pagando en el transcurso de la proxima semana,positivo,1
Los voy a rastrear,positivo,1
"El numero 972936647 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Buenas tardes x favor apolleme  se lo pido,positivo,1
"El numero 952002571 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Quiero,positivo,1
Tengo 400 soles. Avisarme,positivo,1
No conozco quien es no tengo porque llamar 😡,positivo,1
Listo el descuento lo hacen en el penal de San Juan o sarita ?,positivo,1
Ya paque,positivo,1
No puedo pagar por el app,positivo,1
Que deuda pelotudo ???,positivo,1
Otra vez llego msj de claro hay te envie,positivo,1
Con kien es usted,positivo,1
Mi cuota se vence el 20 De octubre.,positivo,1
"El numero 996011159 realizo una llamada, busca comunicarse contigo.",positivo,1
Yo no pago xq me estan cobrando el mes de junio cuando yo ya page ,positivo,1
De ka hablas,positivo,1
Buen dia tendras algun otro centro de pago xf se me hace muy lejos ie hasta jesus maria gracias,positivo,1
Si me quieren estafar haganlo bien aunque sea,positivo,1
No tengo deuda con su entidad,positivo,1
Cuanto es?,positivo,1
Quien es ealter,positivo,1
"El numero 952511380 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Buenas tardes ise un reporte un documento que me van enviar despues de 30 dias,positivo,1
Ud no está informado??? X favor más atento a tu trabajo,positivo,1
Por favor confirmar cuando pueden recoger,positivo,1
Jajajajahaja yo queria pagar esa cantidad hace 3 años a tras ahora no me vengan con sus huevadas,positivo,1
Los%20equipos%20ya%20los%20entregue%20mas%20de%20un%20año%20,positivo,1
"El numero 956177166 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Yo no debo nada,positivo,1
Es pospago.y tengo que pagar el 16 de octubre así me dijo,positivo,1
Oigan no me jordan dejen de mandar mensajes carajooooo,positivo,1
No tengo deudas ok,positivo,1
"Pagué por ellos, pendejos",positivo,1
Que beneficio?,positivo,1
"El numero 999016304 realizo una llamada, busca comunicarse contigo.",positivo,1
"He activado Movistar Total otra vez, me llamaron para ofrecerme una",positivo,1
"Como eran tantas personas que llamaron, no les parece sospechoso.",positivo,1
HEY PEDIDO REPROGRAMACION EN EL MES DE AGOSTO DONDE MI ANALISTA DICE Q DE LIMA NO RESPONDE,positivo,1
Disculpa yo ya ise la cancelacion de mi deuda en finansa efectiva estoy k llamo y no me contestan,positivo,1
"Disculpa, ¿Quién eres? ¿Te conozco?",positivo,1
"El numero 941900754 realizo una llamada, busca comunicarse contigo.",positivo,1
Puedo pagar el otro viernes,positivo,1
Ayeerr,positivo,1
Porque yo desconozco,positivo,1
Estoy sin trabajo por la pandemia no exija,positivo,1
e  gracias ,positivo,1
 Cv hola,positivo,1
Disculpa yo que sepa nooo deboooo,positivo,1
Disculpe k agecia manda este mensaje,positivo,1
"El numero 974987645 realizo una llamada, busca comunicarse contigo.",positivo,1
Llameme,positivo,1
Cuando gusten pueden pasar a recogerlos,positivo,1
500 soles led pago y cerramos la deuda,positivo,1
Buenos dias enviame el monto debo pagar hoy dia gracias,positivo,1
992164300,positivo,1
Quien eres...???,positivo,1
Aver buenas noches de cuanto es el pr¿stamo,positivo,1
o de sonido ni filmacion por culpa de esta pandemia del COVID19. el préstamo era para implementar mi sonido.  Estoy esperando la ayuda del Gobierno de un,positivo,1
No vamos apagar x abusivos,positivo,1
Averiguaré en la UGEL MAYNAS.,positivo,1
"El numero 972653426 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Antes del pago primero esta la salud de mi familia,positivo,1
Así que les pediría amablemente dejen de molestar se supone que han,positivo,1
No se preocupe ya mande a pagar,positivo,1
K carajos no entienden k no debo nada,positivo,1
Kien mierda seras,positivo,1
No entiendo perdone,positivo,1
"El numero 983902912 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Si no es asi no insistir,positivo,1
Q voy no devo nada doto pague,positivo,1
Cantidad a depositar,positivo,1
Contesta ae gil reconcha d tu madre hjpta crees q voy a caer en tu wevada estafador repute tu madre ya te tengo tu numero tengo q saber kien Eres muert,positivo,1
Yo quiero trabajar,positivo,1
 No se quien es mi analista  con quien debo hablar  para reprogramar mi cr¿dito aun no tengo trabajo con que pagar  xfavor nesecito algun numero q pueda llamar ,positivo,1
"El numero 947639108 quiere comunicarse contigo, si deseas llamalo.",positivo,1
"No debo ,ya termin¿ mi contrato con Entel x que joden mucho",positivo,1
"Sres NO  tengo ninguna deuda con RIPLEY .... DEJEN DE ACOSARME, que eso si es un delito, gracias",positivo,1
o y no me responde.,positivo,1
"El numero 990288404 realizo una llamada, busca comunicarse contigo.",positivo,1
Buenos días perdón este yo no tengo ninguna deuda este chip me lo r,positivo,1
"Hola Ricardo, Piensas Estafarme?. Los Bancos No Dan Mnsjs Asi Nomas, Manana Ire A Comisaria,. Piensa",positivo,1
Me equivoqué,positivo,1
Q pago me habla ,positivo,1
Confirmar direccion  de recojo ,positivo,1
Cuales equipos,positivo,1
Informase antes de enviar el mensaje,positivo,1
Desde enero enpesar a pagar,positivo,1
Dejen de amenazas,positivo,1
Ahi pregunte?????,positivo,1
Kkkk...disculpe yo no debo a ese banco...,positivo,1
Ya page,positivo,1
Y quisiera que me comprenda que en este pueblo de Celendin es un problema depositar en el agente BCP.,positivo,1
De vencimiento,positivo,1
Qué.no ven.la cuenta o no tienen ojos aparte mala atención pésima m,positivo,1
Como puedo hacer el deposito del dinero.,positivo,1
Quien es Andy????,positivo,1
que deuda me ablan yo no les debo y voy a tener q ablar con mi abogado para q vea este caso porq siempre me molestan,positivo,1
"como comprendera nos hemos descapitalizado a raiz de la pandemia,se que derrepente nos les importa lo que pueda decirles pero esa es mi realidad y para c",positivo,1
Cual cuota,positivo,1
No se con quién comunicarme,positivo,1
Yo no tengo ningún pendiente de planillas,positivo,1
SRS..YO NO TENGO NINGUNA DEUDA CON UDS. MUY POR EL CONTRARIO QUERIA OTRO CRÉDITO DE DINERO Y.ME NEGARON..RECTIFIQUENSE..GRACIAS.,positivo,1
"El numero 995055631 quiere comunicarse contigo, si deseas llamalo.",positivo,1
91617961,positivo,1
Q beneficio,positivo,1
Quien es nombre por fsvor,positivo,1
"El numero 976800116 realizo una llamada, busca comunicarse contigo.",positivo,1
Yo he estado pagando mis préstamos y son problema ahora considero justo q me den una alternativa,positivo,1
Porfa el monto y fecha,positivo,1
Yo no tengo deuda,positivo,1
"Hola Ya Page Mes Set,",positivo,1
No manden mensaje carajo,positivo,1
Me dijeron que me llamaba para ayer lunes y no me llamaron,positivo,1
"Yo no tengo deuda ...porque me viene esos mensajes, no entiendo",positivo,1
Tengan mas cuidado,positivo,1
949593442 sra lourdes biviana,positivo,1
Que no debo scotiabank no se cansan,positivo,1
No me boy a quedar con su plata yo ire a pagar no se preocupe.pero eso si no se si pagare el doce trece o catorce.pero ai estare pagando,positivo,1
Ya no me envie mensaje,positivo,1
dejen de incomodar por favor no debo a nadie,positivo,1
Porq me escribe ese mensaje si mi persona no tiene ninguna deuda con esa financiera.,positivo,1
No puedo pagar con quien me comunico,positivo,1
Gracias por lo de INOCENTE! ??,positivo,1
Me pueden enviar el codigo de pago,positivo,1
Ya fui a la misma financiera y me explicaron por el cual no hice ninguna reversion ... Gracias,positivo,1
"Yo no debo nada , tomare acciones legales .",positivo,1
Que mierda me van a quitar o q me van a retener ah si no tengo ni mierda lo unico q saven es joder,positivo,1
